"Gene"	"OncoDriver"
"RHOA"	"OncoDriver: BLCA, HNSC, STAD, PANCAN"
"RHOB"	"OncoDriver: BLCA"
"RIT1"	"OncoDriver: LUAD"
"RNF111"	"OncoDriver: PANCAN"
"RNF43"	"OncoDriver: PANCAN, STAD, PAAD"
"RPL22"	"OncoDriver: PANCAN, UCEC"
"RPL5"	"OncoDriver: PANCAN"
"RPS6KA3"	"OncoDriver: LIHC"
"RQCD1"	"OncoDriver: PANCAN, SKCM"
"RRAS2"	"OncoDriver: UCEC"
"RUNX1"	"OncoDriver: PANCAN, BRCA, LAML"
"RXRA"	"OncoDriver: BLCA"
"SCAF4"	"OncoDriver: UCEC, PANCAN"
"SETBP1"	"OncoDriver: PANCAN"
"SETD2"	"OncoDriver: KIRP, LGG, LUAD, MESO, PANCAN, KIRC"
"SF1"	"OncoDriver: BLCA, PANCAN"
"SF3B1"	"OncoDriver: BLCA, LAML, PANCAN, BRCA, UVM"
"SIN3A"	"OncoDriver: PANCAN, UCEC"
"SMAD2"	"OncoDriver: STAD, COADREAD, PANCAN"
"SMAD4"	"OncoDriver: CESC, ESCA, COADREAD, PANCAN, PAAD, STAD"
"SMARCA1"	"OncoDriver: PANCAN"
"SMARCA4"	"OncoDriver: LIHC, PANCAN, LGG, LUAD"
"SMARCB1"	"OncoDriver: KIRP"
"SMC1A"	"OncoDriver: UCEC, LAML"
"SMC3"	"OncoDriver: LAML"
"SOS1"	"OncoDriver: PANCAN, UCEC"
"SOX17"	"OncoDriver: PANCAN, UCEC"
"SOX9"	"OncoDriver: PANCAN, COADREAD"
"SPOP"	"OncoDriver: PANCAN, UCEC, PRAD"
"SPTA1"	"OncoDriver: GBM"
"SPTAN1"	"OncoDriver: BLCA"
"SRSF2"	"OncoDriver: UVM"
"STAG2"	"OncoDriver: PANCAN, BLCA, GBM"
"STK11"	"OncoDriver: CESC, PANCAN, LUAD"
"TAF1"	"OncoDriver: UCEC"
"TBL1XR1"	"OncoDriver: PANCAN"
"TBX3"	"OncoDriver: PANCAN, BRCA"
"TCEB1"	"OncoDriver: KIRC"
"TCF12"	"OncoDriver: GBM, PANCAN, LGG"
"TCF7L2"	"OncoDriver: COADREAD"
"TET2"	"OncoDriver: LAML"
"TGFBR2"	"OncoDriver: CESC, PAAD, HNSC, PANCAN"
"TGIF1"	"OncoDriver: COADREAD"
"THRAP3"	"OncoDriver: PANCAN"
"TLR4"	"OncoDriver: PANCAN"
"TMSB4X"	"OncoDriver: DLBC"
"TNFAIP3"	"OncoDriver: DLBC"
"TP53"	"OncoDriver: THYM, DLBC, LAML, KIRC, UCEC, ACC, BLCA, MESO, PANCAN, CESC, KICH, SKCM, LUAD, LUSC, STAD, BRCA, COADREAD, ESCA, GBM, HNSC, LIHC, OV, PRAD, LGG, PAAD, SARC, UCS"
"TRAF3"	"OncoDriver: PANCAN"
"TSC1"	"OncoDriver: PANCAN, BLCA"
"TSC2"	"OncoDriver: LIHC"
"TXNIP"	"OncoDriver: BLCA"
"U2AF1"	"OncoDriver: UCEC, LAML, PAAD, PANCAN, LUAD"
"UNCX"	"OncoDriver: PANCAN"
"USP9X"	"OncoDriver: PANCAN"
"VHL"	"OncoDriver: PANCAN, KIRC"
"WHSC1"	"OncoDriver: LIHC"
"WT1"	"OncoDriver: PANCAN, LAML"
"XPO1"	"OncoDriver: LIHC"
"ZBTB20"	"OncoDriver: LGG"
"ZBTB7B"	"OncoDriver: UCS"
"ZC3H12A"	"OncoDriver: PANCAN"
"ZCCHC12"	"OncoDriver: LGG"
"ZFHX3"	"OncoDriver: UCEC"
"ZFP36L1"	"OncoDriver: BLCA"
"ZFP36L2"	"OncoDriver: COADREAD, PANCAN"
"ZMYM2"	"OncoDriver: UCEC"
"ZMYM3"	"OncoDriver: PRAD"
"ZNF133"	"OncoDriver: OV"
"ZNF750"	"OncoDriver: PANCAN, ESCA, HNS"
